id,price
0,9.831
1,7.272
2,8.262
3,8.311133333333336
4,6.836
5,6.619
6,8.402
7,8.064499999999999
8,8.08
9,6.891
10,8.137
11,6.087
12,8.017
13,8.687
14,9.152
15,7.722
16,8.738
17,8.523111111111112
18,8.019
19,6.351
20,6.592
21,9.658
22,6.831
23,8.661714285714286
24,6.9585
25,8.648
26,8.862
27,6.898
28,9.381
29,9.029000000000002
30,6.697
31,7.009
32,7.278
33,7.792
34,6.532
35,7.129
36,6.720125
37,6.469666666666666
38,6.405
39,7.637
40,7.356
41,6.506
42,6.466
43,7.388
44,5.919
45,7.48
46,9.249
47,7.566
48,7.966166666666667
49,8.310333333333334
50,7.657
51,6.891
52,8.485
53,7.979
54,9.001
55,7.826
56,9.762
57,9.196
58,9.805
59,8.674625
60,6.225
61,7.989
62,5.927
63,6.301
64,6.078
65,5.976
66,8.396
67,6.743666666666667
68,7.791
69,6.998
70,6.057250000000001
71,6.879
72,7.245
73,6.516299999999999
74,6.938
75,5.976
76,7.669
77,7.694
78,6.526
79,6.521
80,9.097
81,6.952263157894738
82,6.159
83,8.642
84,6.3025
85,6.446
86,6.596
87,8.587333333333333
88,8.803
89,9.539840579710146
90,9.106418604651163
91,5.976
92,8.833
93,8.334
94,9.5135
95,8.352
96,6.929
97,6.103
98,7.242714285714285
99,7.923
100,9.216
101,6.529
102,6.321375
103,7.208
104,8.133285714285714
105,8.985
106,6.108999999999999
107,9.294428571428572
108,8.310333333333334
109,6.292
110,9.071
111,9.001
112,7.185
113,8.835766666666665
114,8.302
115,7.568
116,9.768
117,8.576
118,8.23925
119,8.155
120,7.836
121,6.578999999999999
122,6.815666666666666
123,7.774
124,9.073343749999998
125,9.369
126,6.768
127,6.717
128,9.24
129,6.223
130,8.765520000000002
131,6.507124999999999
132,6.7379999999999995
133,6.221
134,5.984
135,6.082
136,8.44788888888889
137,6.286
138,8.674625
139,8.779
140,8.225
141,8.44788888888889
142,6.774
143,9.762
144,9.467424528301887
145,6.720793103448275
146,9.467424528301887
147,9.160250000000001
148,9.658
149,8.13975
150,7.728999999999999
151,6.701695652173911
152,8.927
153,6.39
154,9.658
155,6.574
156,6.783152542372885
157,6.402
158,6.103
159,8.149
160,6.921
161,7.491
162,8.621
163,7.752
164,7.105
165,6.073
166,8.846
167,6.497
168,6.142
169,6.103
170,9.84
171,8.302
172,6.098
173,8.685
174,7.55
175,6.569
176,7.536
177,7.81935294117647
178,6.114
179,8.12
180,7.199
181,6.917
182,7.391
183,6.967
184,7.6425
185,7.467
186,6.043
187,8.702
188,9.647
189,7.008
190,6.313000000000001
191,6.567
192,9.658
193,9.228125000000002
194,8.524
195,6.708647058823531
196,6.344823529411762
197,7.66188888888889
198,9.163
199,8.320346153846153
200,7.261
201,6.011
202,9.757
203,9.18
204,6.107
205,6.73
206,6.474
207,8.334
208,9.632
209,8.5
210,6.777
211,6.574
212,7.65
213,9.217
214,7.96
215,9.18
216,7.552
217,8.15325
218,6.7256
219,7.722
220,6.41
221,6.81
222,6.163
223,8.5455
224,6.609
225,9.217
226,6.285
227,8.599
228,7.573
229,6.588
230,8.812695652173913
231,9.24
232,5.905
233,7.0085
234,8.213
235,9.807
236,7.141
237,8.437
238,7.639
239,6.45
240,6.696
241,6.775
242,7.745
243,9.575
244,6.871
245,9.53
246,7.208
247,7.226100000000001
248,6.688
249,6.731
250,6.288
251,8.421
252,7.929
253,6.260000000000001
254,8.832
255,6.682
256,7.849666666666667
257,8.757299999999999
258,9.772
259,9.467424528301887
260,6.808896551724137
261,6.51435
262,8.75988524590164
263,9.658
264,9.762
265,9.762
266,7.532
267,8.76
268,6.7379999999999995
269,7.393
270,8.326
271,6.644000000000001
272,6.588
273,6.592
274,6.234
275,8.183
276,7.255
277,8.320346153846153
278,9.34125
279,9.282833333333334
280,7.777
281,7.685
282,8.99
283,6.524
284,6.129
285,8.236
286,8.328
287,7.4446666666666665
288,9.4345
289,6.768
290,7.964142857142858
291,7.491
292,8.971
293,6.707055555555553
294,8.78425
295,8.2
296,7.668000000000001
297,5.908
298,6.828
299,6.646
300,6.105
301,8.736
302,7.244
303,8.304571428571428
304,8.803
305,7.66188888888889
306,6.415113207547165
307,9.498
308,7.865
309,8.873
310,7.586
311,8.062
312,8.422
313,6.356
314,6.915666666666667
315,7.4285
316,9.658
317,7.647615384615383
318,8.156428571428572
319,8.813
320,6.654
321,7.419
322,6.823
323,9.762
324,8.454
325,6.174
326,8.835766666666665
327,8.939
328,6.194
329,8.247
330,7.738
331,8.523
332,8.342
333,8.558
334,8.225
335,9.052
336,9.057
337,8.4862
338,8.27
339,8.671
340,8.522
341,6.569
342,8.75988524590164
343,6.385
344,5.905
345,8.36
346,8.482333333333333
347,8.392
348,8.113999999999999
349,7.566
350,7.504
351,9.812000000000001
352,6.554
353,6.969
354,9.18
355,9.243
356,6.778
357,8.302
358,8.128
359,8.426
360,6.554333333333335
361,7.22
362,9.791166666666667
363,9.467424528301887
364,7.988
365,7.443
366,9.321
367,7.427
368,5.897000000000001
369,7.236
370,6.33775
371,8.77306896551724
372,6.108999999999999
373,6.516299999999999
374,7.912
